,label,left,top,width,height,HITId,AssignmentId,WorkerId,ca,no,tr,fr
11,Object held in hand,648.0,152.0,282.0,452.0,3LB1BGHFM5V7YXGF0699M6J7842TY8,3OB0CAO74LOKG8NDQEXMX7C50J1HYF,A2C7EYRPWL8B3L,airplane,1,hodgepodge,67
12,Object held in hand,605.0,137.0,448.0,568.0,3RIHDBQ1OHXHZ706H949ESTCO0UMH2,3LOZAJ85YHCR1DUL2X8DRPZU9UZ2XM,A2WPHVMLLEV5ZB,airplane,1,hodgepodge,73
13,Object held in hand,678.0,31.0,395.0,451.0,3TRB893CTM9KE8Y8TXK2AAKLEBGG7G,3HYA4D452VIA1R30232RLIZN5O92FZ,A35E8LAQ1R6I9X,airplane,1,hodgepodge,79
14,Object held in hand,673.0,255.0,351.0,399.0,3LOJFQ4BP0E5X3V1A1838UMA734KDK,3N8OEVH1FVPIEB5YO4JEFPB4YVEOOX,A18R8GG33EVI6C,airplane,1,hodgepodge,85
15,Object held in hand,586.0,265.0,514.0,319.0,3G4VVJO6Q2FEM0YRFAZY8O3ZLM7PK3,3P4RDNWND95UHE3YAWE4NWYWNS4IJC,A2C7EYRPWL8B3L,airplane,1,hodgepodge,91
16,Object held in hand,566.0,133.0,592.0,358.0,3ACRLU861QD9W6570J6UF9L5KLSEBJ,37TD41K0AL8W3E0O5GRW4URO65BCSW,A38USNFPASG5WW,airplane,1,hodgepodge,97
17,Object held in hand,528.0,101.0,660.0,461.0,3MGHRFQY3OO6IOJO24LZ2VH2BT60Y4,3SPJ0334252G7EI3EE079KSKDBCYJ8,A2WPHVMLLEV5ZB,airplane,1,hodgepodge,103
18,Object held in hand,707.0,340.0,392.0,213.0,3U74KRR68PKDMYC1T40Y5QL04KUTNE,3CTOC39K3BPXSUM2R5A7W78N9BEJ71,A3E7ZJB271LWC4,airplane,1,hodgepodge,109
19,Object held in hand,649.0,294.0,444.0,212.0,30F94FBDOUJBLPN4QEVPEVL6NVFTBO,3VHP9MDGRRJNZ9V2ZWRXXV89HFHFCG,A3E7ZJB271LWC4,airplane,1,hodgepodge,115
20,Object held in hand,623.0,323.0,467.0,233.0,36GJS3V79YPDY3ZAU69ZD0PU56MGJT,3AWETUDC96RKHT82SIHQBQMM6QOZIL,A3NPSVXD85WT0J,airplane,1,hodgepodge,121
21,Object held in hand,484.0,517.0,448.0,244.0,3VP28W7DVQJXKI8J1863J9D8NPVZFU,3JWH6J9I9WCGDWGDJKEFUGB01MGBNR,A177149MJHLHUO,airplane,2,hodgepodge,1
22,Object held in hand,512.0,493.0,501.0,308.0,37PGLWGSKW5M5EBN2F9EZR2NZ88KII,3FIUS151DZ16UL72C2TY57T0GMDGGU,A3SSR32EZYJ8QD,airplane,2,hodgepodge,7
23,Object held in hand,622.0,340.0,444.0,500.0,3TZDZ3Y0KV5ROCWYQBXJHJ7L7CP19H,3ERET4BTVQ8WHXGDON83BIZ6JRF9KH,A1L3AMVT1UIZPD,airplane,2,hodgepodge,13
24,Object held in hand,431.0,314.0,463.0,473.0,3PUV2Q8SW73440R74OVA9R3KK9RDBP,3FIJLY1B6Y36TY4641D3HV7GGY1PF9,A1L5H5KX16J1LS,airplane,2,hodgepodge,19
25,Object held in hand,421.0,360.0,452.0,525.0,39O6Z4JLY5WXBKUU05NM4A0J3JNXVL,3KB8R4ZV1I6A34ZRWG1K4W230A5GBZ,AO5NIGPGAYIAK,airplane,2,hodgepodge,25
26,Object held in hand,417.0,368.0,475.0,542.0,3TTPFEFXDWJFA4FEUTXSPWWQY09H6H,333U7HK6IDED93NCIIDTWZIJVMAJDN,A18R8GG33EVI6C,airplane,2,hodgepodge,31
27,Object held in hand,421.0,359.0,480.0,584.0,38Z7YZ2SC618GH9IFKTBVDEWYE5QIL,37QW5D2ZRKLURBABO4BR28V5GFH8SF,A313LDOJS2HB5G,airplane,2,hodgepodge,37
28,Object held in hand,500.0,348.0,311.0,556.0,3PUV2Q8SW73440R74OVA9R3KK9TBDP,3HUTX6F6VYM474GT16LH8C81XP42OP,A1CPNA5L0J834N,airplane,2,hodgepodge,43
29,Object held in hand,648.0,301.0,389.0,593.0,3X878VYTJHHE082DIDEKSPK9DWMF7M,33OOO72IVLKXIED3UGWMEZNA8PKCTI,A23K0YTNUJ0GKR,airplane,2,hodgepodge,49
30,Object held in hand,786.0,254.0,413.0,583.0,3CKVGCS3QJ49M27F3YTAK9T1U87S0F,3BEFOD78WASQAFA4S4PS9NGUM4ZM46,A3CFLTRGYW8WIL,airplane,2,hodgepodge,55
31,Object held in hand,805.0,256.0,501.0,458.0,3KA7IJSNX94DTXUX9XM59LK9YSYPBJ,3KXIR214I8F03B6BIM68UE2WGZO241,AKTQD9Y44G495,airplane,2,hodgepodge,61
32,Object held in hand,581.0,214.0,702.0,365.0,3Y3CZJSZANSWGUT3LFZHBUKWPE35RT,3RKNTXVS3QXP8E1FV1ZN0WLUSNLA4L,A1N274L13ZKKI5,airplane,2,hodgepodge,67
33,Object held in hand,306.0,252.0,1614.0,828.0,3XUSYT70JW03KDOX68YLPA71T5W0DS,3OLF68YTND0Z6UY4FIV6R0ILHC2FAK,A1T1Q02X2B4W1I,airplane,2,hodgepodge,73
34,Object held in hand,415.0,223.0,693.0,443.0,3WYZV0QBGMCI26WOVOWM3Y6C0R5XBD,3PPTZCWALUJXYRWL5QMZKSD8X0OQZY,A3SSR32EZYJ8QD,airplane,2,hodgepodge,79
35,Object held in hand,513.0,192.0,492.0,564.0,3PCPFX4U53PO6Q7SECNQSG14IMEFQK,33PPUNGG3C4XASBLI5BZPINDTM5RZF,A3KQEFX15OV461,airplane,2,hodgepodge,85
36,Object held in hand,457.0,254.0,476.0,549.0,3DWGDA5PPI3PLJ91TC2F91WIY451VU,3VE8AYVF8QWLN65PIKBSV9CQROX8F4,A3SSR32EZYJ8QD,airplane,2,hodgepodge,91
37,Object held in hand,484.0,385.0,297.0,541.0,3E24UO25R2PP2L11Y6SI95TRAMS6OZ,36TFCYNS489VG3X3LIBKET5WYD8HXA,A3E7ZJB271LWC4,airplane,2,hodgepodge,97
38,Object held in hand,464.0,428.0,503.0,517.0,3QI9WAYOHTA40DTU5N9RTA3S7BWS6J,3E1QT0TDFT85XX7FJSHDY6PI7HJ8IR,A18R8GG33EVI6C,airplane,2,hodgepodge,103
39,Object held in hand,461.0,321.0,585.0,661.0,3FK4G712O0Z9NBRRC0CUUFZKP0TSS5,3KOPY89HMC1FRBLFPT7HJQW74AH3J7,A2YLF04UAKYVF1,airplane,2,hodgepodge,109
40,Object held in hand,385.0,168.0,656.0,812.0,3D1UCPY6HJ8NKAR38N5O5GR7LQJ38K,3M0NZ3JDP5X855DNLYYWMHIH13YZ5P,A1L3AMVT1UIZPD,airplane,2,hodgepodge,115
41,Object held in hand,393.0,178.0,655.0,760.0,3JTPR5MT0VBATQG8VVQKAIYIUM7K5D,3LJ7UR74RLCWSXV4454SM25URUBN49,A1DRCYCS1YAPTR,airplane,2,hodgepodge,121
42,Object held in hand,391.0,336.0,661.0,323.0,3A3KKYU7Q6GZWXVVC8Q9FV3Z3O1MWW,3JJVG1YBEFWCN7A7FKIT0ZBEA065BJ,A3S5AA4R3RIEEP,airplane,2,hodgepodge,127
43,Object held in hand,437.0,358.0,574.0,292.0,3S829FDFU50BH3U89KNSYOUC3CJXDM,33F859I56ACO30U2GMJ2PWE4FAIHBZ,A3E7ZJB271LWC4,airplane,2,hodgepodge,133
44,Object held in hand,0.0,333.0,1596.0,447.0,341H3G5YG3D6NETTYQNIG2Q4HN60ZR,3TE22NPXPFBA6PLYM0PWNTZU0D244H,A18R8GG33EVI6C,airplane,3,hodgepodge,1
45,Object held in hand,0.0,334.0,1641.0,504.0,3GL25Y6856TELX0LMDMVHEH6CQCMXU,308Q0PEVBCC5B2QPOKNRY2KTRNW9IC,A1L3AMVT1UIZPD,airplane,3,hodgepodge,7
46,Object held in hand,125.0,212.0,1476.0,655.0,3UYRNV2KJWYUOEKDQ6P3EUPDQ7C8N7,30LB5CDZNG99AYRMOSSK5MMQKW00ZK,A1L5H5KX16J1LS,airplane,3,hodgepodge,13
47,Object held in hand,251.0,151.0,1340.0,866.0,37VE3DA4ZXGLGGW9QKE00CIIC1NHB5,3LUY3GC633ZTE5P0MIFRT3UZIBUP7J,A1I66SKK9RFQSA,airplane,3,hodgepodge,19
48,Object held in hand,250.0,160.0,1163.0,920.0,32PT7WK7EPEZ15NUPVG4R858WHJ3DT,317HQ483IBRQ04UJPU6WG3FDWCBNIN,A3E7ZJB271LWC4,airplane,3,hodgepodge,25
49,Object held in hand,440.0,4.0,649.0,1076.0,3BS6ERDLA66YYOAC8XE2YBHS68HD65,3VNXK88KKGHAX8APNRMADRANZO5V96,A1CPNA5L0J834N,airplane,3,hodgepodge,31
50,Object held in hand,675.0,116.0,685.0,964.0,3Q7TKIAPPW9GH9DJV1K4NUZPW3BDLI,3ZR9AIQJUF8T713X3Z2UBQ9HJ1504G,A23K0YTNUJ0GKR,airplane,3,hodgepodge,37
51,Object held in hand,347.0,281.0,1380.0,796.0,36MUZ9VAF912B33REFX0AZ95N69EDV,3WJ1OXY92EFQRFOH74P0H81ZU988AH,A2FCGEU5RTEWG8,airplane,3,hodgepodge,43
52,Object held in hand,447.0,402.0,1252.0,676.0,3S829FDFU50BH3U89KNSYOUC3CFXDI,34V1S5K3GW0PIIVOMJE21ZUOIVF69R,A1I66SKK9RFQSA,airplane,3,hodgepodge,49
53,Object held in hand,258.0,528.0,1507.0,552.0,334ZEL5JY9EUPJZY5JVLAAPJSBQSO8,3NS0A6KXC876L2272UHNQE96RDYGZC,A10249252O9I20MRSOBVF,airplane,3,hodgepodge,55
54,Object held in hand,138.0,282.0,1497.0,627.0,3R16PJFTT6QSX7C8HQ7A5QS4UQA4KQ,39U1BHVTDPQ95EHK1NLLLWJG2CQ3TU,A3E7ZJB271LWC4,airplane,3,hodgepodge,61
55,Object held in hand,72.0,128.0,1589.0,952.0,3XQ4XW3OECBGICATILXO3XMGR6RS2Z,3GM6G9ZBKRWAR0PU75Q0HVSM23BTM4,A1L3AMVT1UIZPD,airplane,3,hodgepodge,67
56,Object held in hand,404.0,6.0,1132.0,1074.0,3HEM8MA6ICB0X3WMSFJV4AF8KSXPQT,3T111IHZ5IPI41T8E7H0CULKEJ5R9O,A3SSR32EZYJ8QD,airplane,3,hodgepodge,73
57,Object held in hand,363.0,2.0,1014.0,1078.0,3421H3BMADGYJTC2G03PLJ371TOJ92,33C7UALJVPXUXRBHBLW7678WQFS18C,A3S5AA4R3RIEEP,airplane,3,hodgepodge,79
58,Object held in hand,511.0,13.0,1132.0,1067.0,3H781YYV7WH9SSZO05XFF3RRQSUTEQ,3Y9N9SS8L2A2OPLNFXL6GS1UZPX3D4,A1L3AMVT1UIZPD,airplane,3,hodgepodge,85
59,Object held in hand,257.0,87.0,1375.0,993.0,3TC2K6WKAJ1YZSVK4NRJM6MFFCK82F,3KRVW3HTZRK9C0CFI5LA7QW00KUMS5,A23K0YTNUJ0GKR,airplane,3,hodgepodge,91
60,Object held in hand,466.0,2.0,825.0,1078.0,302U8RURK20SZQGQYZ0D689L15DVNZ,3V0Z7YWSI2ZZXOPQ2I7V3429TJFV20,A1L5H5KX16J1LS,airplane,3,hodgepodge,97
61,Object held in hand,222.0,250.0,1434.0,826.0,3E22YV8GH45FU6JUCNRE0GK3FHAPN6,3A1COHJ8NNU512WVDAZSYUO374NH8Q,A1DRCYCS1YAPTR,airplane,3,hodgepodge,103
62,Object held in hand,75.0,84.0,1491.0,996.0,3TY2U1TECA9NP5PB2CU2ADHAXYZJJW,3CN4LGXD51NQ4WZIB7D33I31VE24Y3,A177149MJHLHUO,airplane,3,hodgepodge,109
63,Object held in hand,427.0,0.0,1192.0,1078.0,3YKP7CX6H5EONRQXDBSO9ZTOYYVB71,3A9AA95AT0LER1BHYP0UVJG3R5H5P2,ADI3J1D1WQIO3,airplane,3,hodgepodge,115
64,Object held in hand,177.0,8.0,1604.0,1072.0,32CXT5U15J27J44MN71PSPH7Y37U8N,3KRVW3HTZRK9C0CFI5LA7QW00K9SMQ,A2C7EYRPWL8B3L,airplane,3,hodgepodge,121
65,Object held in hand,318.0,0.0,1303.0,1077.0,31KPKEKW5DCA5GQDSC7FUKJ1QKNB0Z,3B2X28YI30E86BALK3SYS5PE6W46BP,A1L3AMVT1UIZPD,airplane,3,hodgepodge,127
66,Object held in hand,392.0,21.0,1497.0,1059.0,3TL87MO8DPODFTRFM7FUBU2A8GRLF1,35L9RVQFCSH3ZZ38GD0XUM6S4VXHUO,A23K0YTNUJ0GKR,airplane,3,hodgepodge,133
67,Object held in hand,105.0,459.0,1751.0,465.0,37VE3DA4ZXGLGGW9QKE00CIIC1QHB8,33F859I56ACO30U2GMJ2PWE4FANBHY,A3E7ZJB271LWC4,airplane,3,hodgepodge,139
68,Object held in hand,662.0,349.0,432.0,157.0,371Q3BEXEK86OND57S62Q8WNCFSZSG,3NKQQ8O3924MNJY6UHH731RUC3ZDU6,A2C7EYRPWL8B3L,airplane,4,hodgepodge,1
69,Object held in hand,676.0,222.0,432.0,245.0,32ZCLEW0C2JJBGS9XPZM793M6X5PJ2,3P529IW9K2KG2DP8C9KW0EYWBP8LFH,A3GJ43NLKYZ7O,airplane,4,hodgepodge,7
70,Object held in hand,610.0,135.0,438.0,293.0,3WPCIUYH2D740MLO4AMV9L96QGWTD0,30MVJZJNHQC16DAV628RA3ZT42NJ90,A3E7ZJB271LWC4,airplane,4,hodgepodge,13
71,Object held in hand,502.0,236.0,532.0,361.0,3TZDZ3Y0KV5ROCWYQBXJHJ7L7CO19G,333U7HK6IDED93NCIIDTWZIJVNPDJY,A1L3AMVT1UIZPD,airplane,4,hodgepodge,19
72,Object held in hand,365.0,418.0,467.0,307.0,3OLZC0DJ9ME0LP5Z1JNL10D4F6KIV7,3UNH76FOCW468MOOHBDZPCK1H51MYU,A5BMA5POGL8DW,airplane,4,hodgepodge,25
73,Object held in hand,305.0,393.0,412.0,344.0,3V0TR1NRWD1MLU3M5ZULBCP8PEHA4I,3483FV8BEIIEIYAP1AZNRCMACQK26C,A10249252O9I20MRSOBVF,airplane,4,hodgepodge,31
74,Object held in hand,268.0,414.0,433.0,275.0,3WRAAIUSCMYDJWRWPAWQ8NM6I9NXAL,3RGU30DZTE7GDXTPVBCWFP5D41TJMY,A3E7ZJB271LWC4,airplane,4,hodgepodge,37
75,Object held in hand,233.0,532.0,490.0,211.0,3QGHA0EA1MZ3D6RYLJ001FS5RPZWBJ,3BWI6RSP7K8PHE0AD4ZGZRVV43LE7E,A3E7ZJB271LWC4,airplane,4,hodgepodge,43
76,Object held in hand,234.0,507.0,517.0,177.0,3FVBZG9CMMDKWTTZS4HBGVMZLXP0H1,3HMIGG0U4P5RNXMKNA3GKUJ6XZSY8W,A1M1E62KXCDNL0,airplane,4,hodgepodge,49
77,Object held in hand,292.0,445.0,563.0,207.0,38DCH97KIK14BSTOX2EB7ETWBTPQJS,3HL8HNGX490L1BOZNCH6V571BUFF90,A3SHFOPG16PGNX,airplane,4,hodgepodge,55
78,Object held in hand,354.0,323.0,567.0,469.0,3MVY4USGC9MKTXOV7OIGQDTXG2OSIA,3DPNQGW4LPEOLCPC5OIBKRJ8W4E468,A1W4V2D8YUAJEH,airplane,4,hodgepodge,61
79,Object held in hand,338.0,334.0,526.0,328.0,3PMR2DOWPR0PFOR5A334319MX0F546,3D4CH1LGEESRFBKUYWNODQ7DCAQG9D,A3OLRWACCCCUTU,airplane,4,hodgepodge,67
80,Object held in hand,361.0,409.0,522.0,197.0,3ICOHX7EOFA8CJ2X2395VSPMTHZ0EN,3JC6VJ2SAFI74X5F96IX5OR8SJ15A6,A3E7ZJB271LWC4,airplane,4,hodgepodge,73
81,Object held in hand,375.0,349.0,509.0,261.0,3RZS0FBRXN9W32M3NXI0K5QRGDUPCM,39ZSFO5CACVZQ5YY4D3I6ZM7HM9UJC,A35E8LAQ1R6I9X,airplane,4,hodgepodge,79
82,Object held in hand,434.0,398.0,478.0,230.0,3E9ZFLPWP1RSPEAU1YO3PLAPVHTIXB,3DIP6YHAPGRTHS5TN9RMDRRQFO98EF,A1L3AMVT1UIZPD,airplane,4,hodgepodge,85
83,Object held in hand,549.0,404.0,343.0,193.0,3BVS8WK9R3ULCB7TW2WL0OJXCEZBIP,3NXNZ5RS1EW8MI9T5TJU7DUKD6Y79Q,A177149MJHLHUO,airplane,4,hodgepodge,91
84,Object held in hand,515.0,395.0,389.0,174.0,3BDORL6HLNCHFF2I0PMPP0Q6HVMCR5,3LO69W1SU7CMGDL3NTQEIZY8C4EGLH,A3E7ZJB271LWC4,airplane,4,hodgepodge,97
85,Object held in hand,512.0,398.0,430.0,250.0,37S0QRNUGEF9L7X9K40KWXZI1CF88L,3N4BPTXIOCRU1P4GMY3U7EMKWCWKUQ,A3NPSVXD85WT0J,airplane,4,hodgepodge,103
86,Object held in hand,526.0,223.0,546.0,292.0,37VHPF5VZF2BXANM1GGPYJV1R308CR,3PW9OPU9PUJJBC9SV4N6WGVT4FE21O,A3E7ZJB271LWC4,airplane,4,hodgepodge,109
87,Object held in hand,520.0,325.0,583.0,239.0,329E6HTMTZ17FBT4HC2RVL0YGQBK3I,35GMH2SV3IGW2KS9UQGIADHQUSMEOV,A177149MJHLHUO,airplane,4,hodgepodge,115
88,Object held in hand,543.0,314.0,678.0,219.0,3MXX6RQ9FY4T8Y9OUICI17E3O0JP4F,3TE22NPXPFBA6PLYM0PWNTZU0DL440,A3E7ZJB271LWC4,airplane,4,hodgepodge,121
89,Object held in hand,281.0,223.0,695.0,286.0,3P0I4CQYW16NW0G7PO5M7ZS4YOGOWD,3P1L2B7AD5OA8Q21BC3MN87A3POOLT,A39J5RLVDTM6SM,airplane,4,hodgepodge,127
90,Object held in hand,240.0,293.0,650.0,181.0,3HXCEECSRPS3K9PE6YYR8UKOT0NZYT,3U0SRXB7CH43T3X2FH05UVG4J8RNRO,A313LDOJS2HB5G,airplane,4,hodgepodge,133
91,Object held in hand,248.0,257.0,1672.0,583.0,3P4ZBJFX3Y2TQN3EQLMWK5JQ6NVFWO,3ZPBJO59KT0HIXSMUIA8KM24IVZHDB,A1M1E62KXCDNL0,airplane,5,hodgepodge,1
92,Object held in hand,227.0,108.0,1693.0,972.0,3Y7LTZE0ZWLM3059WX1259EBXCAZUT,39L1G8WVWUQ8WU5BZ41BFQ0LATY31K,A1L3AMVT1UIZPD,airplane,5,hodgepodge,7
93,Object held in hand,283.0,2.0,1635.0,980.0,34D9ZRXCZUT5NF5XV0Q39F5E3UKSA7,3AAJC4I4FKRGC4S8A02QNR1MJ56ZJQ,AG8PCITDPLLKU,airplane,5,hodgepodge,13
94,Object held in hand,13.0,329.0,1907.0,751.0,3YLTXLH3EI5NKAXJ9PW1VWN7T52PHY,3V26SBZTBHD6CJXCSM5CBLPC23CZZ4,A2C7EYRPWL8B3L,airplane,5,hodgepodge,19
95,Object held in hand,54.0,0.0,1866.0,953.0,33IXYHIZC8HF8T5BHQDJEGI1QFME2O,3AMW0RGHOH1IHQHN2PWGP0GPIQGNP9,A23K0YTNUJ0GKR,airplane,5,hodgepodge,25
96,Object held in hand,100.0,258.0,1820.0,822.0,3B9XR6P1XHUH7MRZEKHLCPYXPTRBJ4,3LWJHTCVCGLRTA5L4ESSH0XQLVYFQ3,A3SSR32EZYJ8QD,airplane,5,hodgepodge,31
97,Object held in hand,0.0,81.0,1916.0,999.0,3X7837UUBGXB1AA4IT0D19C5BSK6JI,3U5NZHP4LV1Q7UVCZR13KGJTWE5HPS,A1L3AMVT1UIZPD,airplane,5,hodgepodge,37
98,Object held in hand,1.0,115.0,1394.0,779.0,3RWO3EJEMK8CGZC570TG3970CG71PC,3QAPZX2QN8CJ4NOAZLJ6IBCJZNX20A,A177149MJHLHUO,airplane,5,hodgepodge,43
99,Object held in hand,14.0,17.0,1685.0,776.0,301KG0KXAFKRS3WD7RLPZJFEIVC2HQ,37Q970SNZI7CGBQQPJ2CNY8X2971SK,A313LDOJS2HB5G,airplane,5,hodgepodge,49
100,Object held in hand,0.0,178.0,1873.0,902.0,3VCK0Q0PP8DC6PFAV2COLFJV79Z0NB,34PGFRQONSACI9N3ZDIJON7423TWJO,A3E7ZJB271LWC4,airplane,5,hodgepodge,55
101,Object held in hand,42.0,4.0,1847.0,1076.0,3TCFMTM8IHNGOSBZ52I47WZ716C21N,3X1FV8S5J1QPCIXX1XSK58WA31ZVGW,A231K1J5MZLQW2,airplane,5,hodgepodge,61
102,Object held in hand,177.0,2.0,1477.0,1078.0,385MDVINGFE9VPPA9BDHZ3BIZU6JWP,3IXQG4FA2XXVOUCJIAVACFGGWWNB9E,A231K1J5MZLQW2,airplane,5,hodgepodge,67
103,Object held in hand,197.0,1.0,1723.0,1077.0,3UAU495MJLRA4WR2UOQLPB77D85UOK,3UN61F00H0OZ3ERWBH4J0EGISM7R5G,A3E7ZJB271LWC4,airplane,5,hodgepodge,73
104,Object held in hand,532.0,502.0,1388.0,520.0,360ZO6N6K4IOK1INJXGH1BVO5NI9MV,3CP1TO84PX0IZUABWRPIZ68AGV125O,A3SSR32EZYJ8QD,airplane,5,hodgepodge,79
105,Object held in hand,226.0,0.0,1694.0,1080.0,3K3G488TS57W4TE380AH64ARTS05QR,3T111IHZ5IPI41T8E7H0CULKEJJ9RK,A72ON2HDM22OZ,airplane,5,hodgepodge,85
106,Object held in hand,50.0,0.0,1844.0,1080.0,3UZUVSO3QAU5FX94R8W3TPWZWK0EMC,3YWRV122CWYA6O2FD96RH9DT1CWU8B,A3E7ZJB271LWC4,airplane,5,hodgepodge,91
107,Object held in hand,620.0,10.0,818.0,1067.0,39WSF6KUW5KTF0UG4OBGLTL4RKGOE2,3V0Z7YWSI2ZZXOPQ2I7V3429TJGV21,A2PJBSDDN22XIX,airplane,5,hodgepodge,97
108,Object held in hand,661.0,2.0,1259.0,1075.0,39WICJI5BWR246SQHD51I0OBKZUZ3P,3LQ8PUHQFPRYQ888MWBJBJIHA0BHIH,A2WPHVMLLEV5ZB,airplane,5,hodgepodge,103
109,Object held in hand,386.0,3.0,1534.0,1064.0,3ICOHX7EOFA8CJ2X2395VSPMTHX0EL,3LUY3GC633ZTE5P0MIFRT3UZIBQ7PX,A177WHL80AVLKL,airplane,5,hodgepodge,109
110,Object held in hand,3.0,27.0,1917.0,12.0,3E9ZFLPWP1RSPEAU1YO3PLAPVHOXIL,33CID57108SLM19FSEJUZ59Z8YWL3Z,A1T1Q02X2B4W1I,airplane,5,hodgepodge,115
111,Object held in hand,299.0,0.0,1621.0,766.0,3CKVGCS3QJ49M27F3YTAK9T1U890SP,33UKMF931DJE4VFEG2RC39NEWBCTTA,A3E7ZJB271LWC4,airplane,5,hodgepodge,121
112,Object held in hand,321.0,291.0,1599.0,789.0,3D5G8J4N6D3QU3LAVVMPF7FDQNZVT0,3F0BG9B9MTMNNJH1D5BA6UNBMG6Y7V,A3E7ZJB271LWC4,airplane,5,hodgepodge,127
113,Object held in hand,213.0,269.0,1707.0,811.0,3P6ENY9P8CVV3OAFWU6HMZMV7R4HIB,39K0FND3ALE5C4QL15ZJMQ2UEDCMAW,A35E8LAQ1R6I9X,airplane,5,hodgepodge,133
114,Object held in hand,295.0,438.0,678.0,207.0,3IVEC1GSMSYGUO97CNOW6DLO3HY1J9,3NKQQ8O3924MNJY6UHH731RUC27UDT,A3LRG7LUVGYEAF,airplane,6,hodgepodge,1
115,Object held in hand,207.0,503.0,736.0,239.0,39AYGO6AGIJ7K01PXRS5UGTMKCN6NK,3I7DHKZYGRZ20OMNKM4PJP2ZPZJF5Y,A13V95MSIU0JN3,airplane,6,hodgepodge,7
116,Object held in hand,199.0,404.0,835.0,430.0,3NSCTNUR32M4HD7MJ4DVG4VMPAAA5L,3EJJQNKU9V4BJ7BRCJ5SPBJ8XV5RH4,A3S5AA4R3RIEEP,airplane,6,hodgepodge,13
117,Object held in hand,230.0,490.0,699.0,452.0,3UAU495MJLRA4WR2UOQLPB77D86UOL,3RKNTXVS3QXP8E1FV1ZN0WLUSMV4AN,A2PJBSDDN22XIX,airplane,6,hodgepodge,19
118,Object held in hand,272.0,588.0,664.0,224.0,3O4VWC1GFZ5C4RNMZR2FU60L11F3J6,3S06PH7KSV36EM78ST7NSZMX16XD12,A3PRFA3M7OSCT5,airplane,6,hodgepodge,25
119,Object held in hand,254.0,520.0,710.0,281.0,367O8HRHLJ7QLQPGMZGCWCJEBKO4S8,3R8YZBNQ9LHEEHQFMVUGT8K9N7GQ7B,A3GJ43NLKYZ7O,airplane,6,hodgepodge,31
120,Object held in hand,270.0,482.0,702.0,308.0,3APP19WN84D1A8K3ANFA4WKPJ016GC,336KAV9KYURG1IKV7TUFA363B0IY2D,A2C7EYRPWL8B3L,airplane,6,hodgepodge,37
121,Object held in hand,289.0,540.0,671.0,303.0,3IV1AEQ4EUCY5OTSB8XBLN8WHN7J8E,3VP0C6EFSKV4P2EIBSI76L08IV36M9,A2UB4DIAFXKIKU,airplane,6,hodgepodge,43
