,HumanRecognition,HITId,AssignmentId,WorkerId,ca,no,tr,fr
20,Airplane,3VDVA3ILJGE63MJ64H3T90T8BIY1G8,326O153BMMX5YN1K4H22ZJ5RN05DES,A1GKD3NG1NNHRP,airplane,3,rzplus,1
21,Airplane,3Q7TKIAPPW9GH9DJV1K4NUZPWYGDLD,3R0T90IZ1WBTD9RXAGXFFG8LGD4CGZ,A13V95MSIU0JN3,airplane,3,rzplus,19
22,Airplane,3BAWBGQGZOY3W5O3ISJOABNV1MAV7I,3IFS6Q0HJMINGHMOXQNIFXPJIDOIS2,A21RPHHODQOHTH,airplane,3,rzplus,37
23,Airplane,33J5JKFML9XTQERZUHMOR7C7FTKQ3R,32M8BPYGAXLKQCDX2QT1QJ6GU2BIGZ,A3C8JI69WPTKWH,airplane,3,rzplus,55
24,Airplane,3QX22DUVPRGMH8VQMYLDTTKLW1OMVJ,3TK8OJTYM5KVPVQW4GI7ZHA2Z2VPVI,A3HP7L563UF5DW,airplane,4,rxplus,1
25,Airplane,3BO3NEOQN3GGT121QOWP5DZRUNQAIN,3OXV7EAXLIP33G685ADSAMR2EXB630,A2OM8VOFPTQ8V,airplane,4,rxplus,19
26,Airplane,38XPGNCKIWZ6DI6KGULH7Z3LAFU4V7,3XM0HYN6NOYENK4A9QTXZDMG1XXPEZ,ADZLMF2H5IPRO,airplane,4,rxplus,37
27,Airplane,3URJ6VVYVSMBNYXNFIZ3C79DENI4OS,3TYCR1GOTGIM7UG8DLE336EEK4KLZ4,A1H2DOSN5SFN7A,airplane,4,rxplus,55
28,Airplane,3LN3BXKGD3UZ4NZ915SE2QJ27V6WG1,3Q8GYXHFET1VXC2DTKEOBJHWP695CW,A1GKD3NG1NNHRP,airplane,4,rzplus,1
29,Airplane,3S829FDFU50BH3U89KNSYOUC37QDXZ,3PEIJLRY6XSDDTSSGHXKFWFJBEWWXO,A13V95MSIU0JN3,airplane,4,rzplus,19
30,Airplane,3I7KR83SODCTUDIKYL31MY3KGERK9X,30JNVC0ORDJB76WRZ4GSKL930CNHQI,A2U1NN8QDH1YVC,airplane,4,rzplus,37
31,Airplane,3G4VVJO6Q2FEM0YRFAZY8O3ZLJKKP5,3HYA4D452VIA1R30232RLIZN4RB2F6,A76WEZ9QGREEM,airplane,4,rzplus,55
32,Airplane,3CMV9YRYQ60TKVDB5X6FQSU219RLJV,3OVHNO1VEA039ISG04GFKT699U2DZW,A18R8GG33EVI6C,airplane,5,rxplus,1
33,Airplane,3AC6MFV6ANHHYEZPWYU3MUPL3VHZHJ,3L4PIM1GQXFX521GMJ9GBBEBJLGYRS,AKM6A2R4THEII,airplane,5,rxplus,19
34,Airplane,3AJA9FLWTFXBPSJ914IHJEAIR37IFC,3HOSI13XH3N06HNK8MRIT1N6N2UDDH,ADZLMF2H5IPRO,airplane,5,rxplus,37
35,Airplane,302OLP89E26PGYG1YE03UA1WHJVACC,3SB5N7Y3O739JHWHY04VKF6K6GCG0Y,A1H2DOSN5SFN7A,airplane,5,rxplus,55
36,Airplane,37VUR2VJ7DOTMA312V7AJ98TDQ61CY,3OSWBBLG1IWE4NS1ZMSUN8QY36HXDM,A1GKD3NG1NNHRP,airplane,5,rzplus,1
37,Airplane,3E9ZFLPWP1RSPEAU1YO3PLAPVCYIX6,30ZX6P7VFCUQ6TPWLTTC0GRFW752J3,A13V95MSIU0JN3,airplane,5,rzplus,19
38,Airplane,3UY4PIS8RUKCDE0SRLGOZK25CX8N1W,3TUI152ZZFM03VBDXFD7SYTWJNS1Q4,A2LDVDDTFY3LQ9,airplane,5,rzplus,37
39,Airplane,36AZSFEY07ZQYHRTV9V4FD9RKDCVBH,3WETL7AQWX77KC6U0R3NIGD2LB0352,A3C8JI69WPTKWH,airplane,5,rzplus,55
40,Airplane,3TLFH2L6ZCNHXCN87L2ED2I2TBS2TT,3OXV7EAXLIP33G685ADSAMR2DDI632,A18R8GG33EVI6C,airplane,6,rxplus,1
41,Airplane,3I01FDIL7P7AGNRBLV2Z8Y0GQUQ2D6,324G5B4FB77QQOLG5X01E2TR6XC708,A2OM8VOFPTQ8V,airplane,6,rxplus,19
42,Airplane,363A7XIFW7LLF7M1PVV8K2PL2PQAVO,33UKMF931DJE4VFEG2RC39NET9PTTG,AHD6Z6F9T75A9,airplane,6,rxplus,37
43,Airplane,3BO3NEOQN3GGT121QOWP5DZRUOFAIE,3SUWZRL0M2C6DEM5UUUOTDVZ63E6E3,A1H2DOSN5SFN7A,airplane,6,rxplus,55
44,Airplane,3GONHBMNIYX3QS00NVAGEZXHKJMZM2,3SBEHTYCWR2KC3YXWWF7XJDKXGXIYR,A1GKD3NG1NNHRP,airplane,6,rzplus,1
45,Airplane,3QO7EE373RMYT9VC9A1U9QAJ3JRBQT,3FUI0JHJP1X46XJQM8FU3JFI6VN33L,A13V95MSIU0JN3,airplane,6,rzplus,19
46,Airplane,3FK4G712O0Z9NBRRC0CUUFZKPWTSSX,3TXD01ZLD8G9NNFD16GE0XXOYS6U4D,A2LDVDDTFY3LQ9,airplane,6,rzplus,37
47,Airplane,375VMB7D5MIER85DAYNRVE7XFWSIDE,3H8DHMCCWDA8KNTU03D5XEIW9EGDKR,A3TYCJO2DG3RMH,airplane,6,rzplus,55
48,Airplane,371QPA24D5NA8R5COH208J8X15DT12,32M8BPYGAXLKQCDX2QT1QJ6GQ9KGIG,A18R8GG33EVI6C,airplane,7,rxplus,1
49,Airplane,3EPG8DX9MNPB4HDO8NVS6ZKHONKP58,3R5F3LQFV6JUDFJ5QDUVVNI8ET7OZ9,AKM6A2R4THEII,airplane,7,rxplus,19
50,Airplane,3TL87MO8DPODFTRFM7FUBU2A871LFT,3IFS6Q0HJMINGHMOXQNIFXPJGABSIR,ADZLMF2H5IPRO,airplane,7,rxplus,37
51,Airplane,3XAOZ9UYS2QXGBDK7D853EXAH4Q1QK,35GCEFQ6I9N5RQQJ7FA37KKXKIVZ36,A1H2DOSN5SFN7A,airplane,7,rxplus,55
52,Airplane,3421H3BMADGYJTC2G03PLJ371M39JT,369J354OFH94XSIW0PKCTGGBJUXG6K,A1GKD3NG1NNHRP,airplane,7,rzplus,1
53,Airplane,3NBFJK3IPKHRZEQ7AJ14LW6G4V1GO7,3LRLIPTPEU8AMGQIGTM37DAQNKHAK1,A3LV42KWYAJ2Q8,airplane,7,rzplus,19
54,Airplane,3M0556244VJ33TU0YKV9OM6ZD7RFNP,3ZWFC4W1UY6R5BKLHTHSMQ7VGJCFRJ,A2LDVDDTFY3LQ9,airplane,7,rzplus,37
55,Airplane,3HUR21WDEXOEFEPZ5GA6B94DLX2XY1,3QXNC7EIPMUU4799KUYLSYKX4W690D,AVV45BXBPOCS0,airplane,7,rzplus,55
56,Airplane,3OPLMF3EV8MP3L4WKVY7JZBJATWNL1,34V1S5K3GW0PIIVOMJE21ZUOD5P96J,A18R8GG33EVI6C,airplane,8,rxplus,1
57,Airplane,3HEA4ZVWWGL7B7V5O8ME8TF0XNJ552,3TMFV4NEPCDNYSRK89LSZXYQIM18W2,AKM6A2R4THEII,airplane,8,rxplus,19
58,Airplane,3FI30CQHWNI5JRCSU1NW3LTS3EKB6T,3U088ZLJVOS5G3MHD58D6IS80TQW0F,ADZLMF2H5IPRO,airplane,8,rxplus,37
59,Airplane,3MJ9GGZYP65CIGOZ1LBXIXSA5SIA23,3QILPRALQ9UXBYI6G8U53ELZQQ5N8V,A1H2DOSN5SFN7A,airplane,8,rxplus,55
60,Airplane,3VLL1PIEOTNRQVLC0BPT63MMFJ1ZOH,3Z7EFSHGNDD4ZVMNZQXJ328GI5IXCX,A1GKD3NG1NNHRP,airplane,8,rzplus,1
61,Airplane,3BS6ERDLA66YYOAC8XE2YBHS63R6DY,3SUWZRL0M2C6DEM5UUUOTDVZ7646E0,A13V95MSIU0JN3,airplane,8,rzplus,19
62,Airplane,3X55NP42FRF8Q2QKU47ZR2MXAWNP3M,374TNBHA8FUXT1MG94KG6L46Q8ZYQX,A21RPHHODQOHTH,airplane,8,rzplus,37
63,None of the Above,3O2Y2UIUDTT2VN9X173TWUPVJDXFKX,3OLQQLKKNWOI191CEDOD2H04U2SJE4,A3W1BZJDOLEW9P,airplane,8,rzplus,55
64,Airplane,386T3MLZMQUR3IS6P0N53IT0I0N80Q,3AMW0RGHOH1IHQHN2PWGP0GPDZ1NP7,A18R8GG33EVI6C,airplane,9,rxplus,1
65,Airplane,35NNO802BYVNDKWQZS1URJJRTUPINF,3K3R2QNK8F2AKTLPI1C5H584HC4U9A,A2OM8VOFPTQ8V,airplane,9,rxplus,19
66,Airplane,35F6NGNVNBIOJDKEDXJ99TZA4W47TE,3MHW492WW4CP4STJC0QFIDG7WNQVMG,ADZLMF2H5IPRO,airplane,9,rxplus,37
67,Airplane,3XBYQ44Z7S339SLFL5RL19YRXOXTWO,3JAOYWH7VM3713YV9NK4QICL51ZL9S,A1H2DOSN5SFN7A,airplane,9,rxplus,55
68,Airplane,31KSVEGZ47RQTD8NHGMQ1UX994HWRX,3EKVH9QME23D37P4BX71XIW2QXF2DF,A1GKD3NG1NNHRP,airplane,9,rzplus,1
69,Airplane,3O0M2G5VD918GBTHDTGLFHEOJR694Z,3B3WTRP3DF110HCNZH2ZBMDC06592Z,A13V95MSIU0JN3,airplane,9,rzplus,19
70,Helicopter,3BCRDCM0PGT6CUGM0E0P2OCIQDJK6M,3F1567XTN04IS0E81SS074BFHZEQ90,A2U1NN8QDH1YVC,airplane,9,rzplus,37
71,Airplane,3JAOYN9IIO11JDLXW6ASEZJW517332,3PXX5PX6L1X9TDMOAG9A8AR01HEBA7,A3C8JI69WPTKWH,airplane,9,rzplus,55
72,Airplane,3R5OYNIC3F8DPJOE9JDQ9FQV4LJPT2,3BDCF01OG1TM2463HZCKPZ5CC92YL8,A18R8GG33EVI6C,airplane,10,rxplus,1
73,Airplane,3VDI8GSXBISOEM3R32C8OAGGPMYG8X,39L1G8WVWUQ8WU5BZ41BFQ0L6NW130,A2OM8VOFPTQ8V,airplane,10,rxplus,19
74,Airplane,3PUV2Q8SW73440R74OVA9R3KK07DBN,3LOZAJ85YHCR1DUL2X8DRPZU6THX2U,ADZLMF2H5IPRO,airplane,10,rxplus,37
75,Car,3SV8KD29M7R8040X2JX0ZM5DVDAZKE,3UN61F00H0OZ3ERWBH4J0EGIPX6R5Y,A1H2DOSN5SFN7A,airplane,10,rxplus,55
76,Airplane,3UY4PIS8RUKCDE0SRLGOZK25CUK1NG,3CPLWGV3MSYXP31GL00J3AGAA7TN9C,A1GKD3NG1NNHRP,airplane,10,rzplus,1
77,Airplane,3TD33TP5EO166TOVKE48JQVEZ15BAM,324G5B4FB77QQOLG5X01E2TR8EJ078,A13V95MSIU0JN3,airplane,10,rzplus,19
78,Airplane,3P4ZBJFX3Y2TQN3EQLMWK5JQ6JVFWG,3ERET4BTVQ8WHXGDON83BIZ6ITNK93,A2XFLC9IUFS35U,airplane,10,rzplus,37
79,Airplane,3DIIW4IV9SU1RCMKHNMYSADR2JZI41,3B2X28YI30E86BALK3SYS5PE5ZU6BK,A3W1BZJDOLEW9P,airplane,10,rzplus,55
80,Airplane,3GL25Y6856TELX0LMDMVHEH6CCWXMX,3H7Z272LXB6STQE2QCG1C8C0841PL7,A18R8GG33EVI6C,airplane,11,rxplus,1
81,Airplane,3NSCTNUR32M4HD7MJ4DVG4VMP1KA5D,3WQ3B2KGECFDZP9OEXGHX9YXUFD1BV,AKM6A2R4THEII,airplane,11,rxplus,19
82,Airplane,3Q9SPIIRXMLYUWM6F504648Z9YSAWY,386PBUZZXJWW7FB4VZBHFCQO1VUJLI,ADZLMF2H5IPRO,airplane,11,rxplus,37
83,Airplane,311HQEI8SVFK5PTDJP8RVH0RPTAZ78,3ZDAD0O1T5CLLCOYLCS9SC8K6H3TXD,A1H2DOSN5SFN7A,airplane,11,rxplus,55
84,Airplane,3IV1AEQ4EUCY5OTSB8XBLN8WHGL8J3,3FTYUGLFSYK5248RTG9ZVPZEA755DI,A1GKD3NG1NNHRP,airplane,11,rzplus,1
85,Airplane,3D1TUISJXLZ08AGZWTDG5EBL1UHIUE,3FPRZHYEP26OI6L96IL0ME71XA53VX,A13V95MSIU0JN3,airplane,11,rzplus,19
86,Airplane,34HEO7RUH9TTM05KGBQYJ50IHO3ARV,3KMS4QQVK6P5I77QR98VLELHLRIFKQ,A2U1NN8QDH1YVC,airplane,11,rzplus,37
87,Airplane,3VGET1QS03YGBUO882OKWD698WO7WI,3N2BF7Y2VUTKMRYZ7B9B3CPYQCGMHS,A6YDORFZZXXPQ,airplane,11,rzplus,55
88,Airplane,37MQ8Z1JRHVDEYM2HRPDLJAH8DA2YI,3DQQ64TANKK84KQ1UQN3LJTG6B4WP6,A18R8GG33EVI6C,airplane,12,rxplus,1
89,Airplane,3XDJY5RK6VK603HKB4BCBD12W8H4UE,3V5Q80FXI1QFLFN7I81PK9AQYTA23I,AKM6A2R4THEII,airplane,12,rxplus,19
90,Airplane,3JMNNNO3C439PTR22Q7P0MP1XA02WJ,3R6BYFZZPBBB276XQSNKB8TJFXNXFF,ADZLMF2H5IPRO,airplane,12,rxplus,37
91,Airplane,3CVBMEMMYEFYE4TJD32KVAWMT3U7HR,3MYYFCXHJ76QI5EIH1RXWIWXNSQG4C,A1H2DOSN5SFN7A,airplane,12,rxplus,55
92,Airplane,37SDSEDIOC1RA7DOLJR5HNCANZL18S,3S3AMIZX3Y4Q1PH68QW79V5O2OTDC0,A1GKD3NG1NNHRP,airplane,12,rzplus,1
93,Airplane,32204AGABEBH7X4K666E1N9FS9NGHJ,3570Y55XZTI6GCS268F4C704JU3YGW,A3LV42KWYAJ2Q8,airplane,12,rzplus,19
94,Airplane,3OWZNK3RZOOWXP2X7QSOIY44CZG2UL,39U1BHVTDPQ95EHK1NLLLWJG1E3T30,A2U1NN8QDH1YVC,airplane,12,rzplus,37
95,None of the Above,38VTL6WC5DC5DV5PZARBJQDTSYSY5S,36NEMU28XJC2JHTO2AVB4FZL50RWM0,A3W1BZJDOLEW9P,airplane,12,rzplus,55
96,Airplane,3E22YV8GH45FU6JUCNRE0GK3F3XPN1,3ZY8KE4ISN2GP7RB4TXWZM0C4YOVQM,A18R8GG33EVI6C,airplane,13,rxplus,1
97,Airplane,3TRB893CTM9KE8Y8TXK2AAKLE2SG7A,333U7HK6IDED93NCIIDTWZIJRHLJDK,A2OM8VOFPTQ8V,airplane,13,rxplus,19
98,Airplane,335HHSX8DG4EVDUT4G56V26IFDCDH3,378XPAWRUGCJGL0UGQ1RUXVDU45IAM,ADZLMF2H5IPRO,airplane,13,rxplus,37
99,Airplane,3P7RGTLO7HC7ZWSPQRH1ITE4MS4AKP,3ZAZR5XV05HT4QM208L40NORQV3CZC,A1H2DOSN5SFN7A,airplane,13,rxplus,55
100,Airplane,3RWO3EJEMK8CGZC570TG3970C9L1PC,3NS0A6KXC876L2272UHNQE96OYVZGV,A1GKD3NG1NNHRP,airplane,13,rzplus,1
101,Airplane,3UYRNV2KJWYUOEKDQ6P3EUPDQ2J8N4,3K9FOBBF2LISQ52PAX398J75BT0LNI,A13V95MSIU0JN3,airplane,13,rzplus,19
102,Airplane,373L46LKQA5I0PVTKXUEBSHNCJ3JKR,3I33IC7ZWJ1F50MSRNGZ7HOW7BK2AF,A2XFLC9IUFS35U,airplane,13,rzplus,37
103,Airplane,3OID399FYJ6UHH3N9QH6SHU5Z41DFJ,3TU5ZICBRH0IEVVYW0MM78G4XTB8Q8,A3TYCJO2DG3RMH,airplane,13,rzplus,55
104,Airplane,3VCK0Q0PP8DC6PFAV2COLFJV7VLN0S,3OHYZ19UGG4TC7BXELEWEURZ4NZOA0,A18R8GG33EVI6C,airplane,14,rxplus,1
105,Helicopter,3UEBBGULQINGYJE9VL7V2HYTLYQFUD,35K3O9HUAFC2W7FGVNXSNJ8CYMAFEB,AKM6A2R4THEII,airplane,14,rxplus,19
106,Airplane,3LN50BUKQYAP66G90ABZNOGEADOPL0,3D4CH1LGEESRFBKUYWNODQ7D99X9G8,ADZLMF2H5IPRO,airplane,14,rxplus,37
107,Airplane,3P0I4CQYW16NW0G7PO5M7ZS4YGGWO5,3WMINLGALF2S3IEUOG55JUXIHASAC5,A1H2DOSN5SFN7A,airplane,14,rxplus,55
108,Airplane,3XABXM4AK44FRBX56YHKIOKIVBD8QU,3GM6G9ZBKRWAR0PU75Q0HVSMZOLTMH,A1GKD3NG1NNHRP,airplane,14,rzplus,1
109,Airplane,30ZKOOGW3Z55TV63IHBJDEI5DPE1AT,3ZV9H2YQQH61XVLEWSQW8GQF4JYW3R,A13V95MSIU0JN3,airplane,14,rzplus,19
110,Airplane,37NXA7GVTW52BQD5MMKYTG5WW6FVLR,3MHW492WW4CP4STJC0QFIDG7YL5MVK,A2ESBX4C2Q6TQY,airplane,14,rzplus,37
111,Airplane,3GL25Y6856TELX0LMDMVHEH6CNOXMB,3KYQYYSHYZ6RAEE9YV5Y4VZ5TK1ODZ,AVV45BXBPOCS0,airplane,14,rzplus,55
112,Airplane,31MCUE39CNL2DPXLRLHCXT859VJG38,3F0BG9B9MTMNNJH1D5BA6UNBHPWY7Y,A18R8GG33EVI6C,airplane,15,rxplus,1
113,Airplane,3SV8KD29M7R8040X2JX0ZM5DVCLZKN,39GXDJN2OXDAJ3RFIZGWDVFCBDVV8B,A2OM8VOFPTQ8V,airplane,15,rxplus,19
114,Airplane,3LEG2HW4VIM7E757C1XPWY3127AF2Y,3P1L2B7AD5OA8Q21BC3MN87A0P3OL5,ADZLMF2H5IPRO,airplane,15,rxplus,37
115,Airplane,3UZUVSO3QAU5FX94R8W3TPWZWCXEMT,3MH9DQ7570BPZ38XW7IF9MURM5NGU8,A1H2DOSN5SFN7A,airplane,15,rxplus,55
116,Airplane,3UEBBGULQINGYJE9VL7V2HYTL0VUF1,3E1QT0TDFT85XX7FJSHDY6PI41UI8D,A1GKD3NG1NNHRP,airplane,15,rzplus,1
117,Airplane,3HO4MYYR25NKFQLYUS4R8BLGS3M6U8,384PI804XW0C9M58T0YC9TPNVSJ0SI,A3LV42KWYAJ2Q8,airplane,15,rzplus,19
118,Airplane,3DGDV62G8R8J5KU1Q4TU8SH54INP2B,31UV0MXWNUBMAFODLUAAMMFR4TEI5Y,A2U1NN8QDH1YVC,airplane,15,rzplus,37
119,Airplane,3E9VAUV7CZD2J1H6U6ISR1TFKCTYAY,3SB5N7Y3O739JHWHY04VKF6K892G0C,A3W1BZJDOLEW9P,airplane,15,rzplus,55
120,Airplane,3DQYSJDTZOAG99885FYC46CX3A5XE8,33PPUNGG3C4XASBLI5BZPINDOVTRZG,A18R8GG33EVI6C,airplane,16,rxplus,1
121,Airplane,3R0WOCG22P8J0Z0D4FC5EHV89LAUDH,3PM8NZGV82F8TWW648YEN7XXLUXXQZ,AKM6A2R4THEII,airplane,16,rxplus,19
122,Airplane,3RDTX9JRU105ZYB0FRESITYYAP179E,3IKZ72A5B8F6QDSTOM0BD62LDJDFND,ADZLMF2H5IPRO,airplane,16,rxplus,37
123,Airplane,3S8A4GJRE62KS5AYZIEW4XNZ67L6VH,33M4IA01QK085XB6HNNESX72IW8XR6,A1H2DOSN5SFN7A,airplane,16,rxplus,55
124,Helicopter,3LB1BGHFM5V7YXGF0699M6J78XETY6,3UXUOQ9OKIWMR1JYXZXU3854GA4A71,A1GKD3NG1NNHRP,airplane,16,rzplus,1
125,Airplane,3LOJFQ4BP0E5X3V1A1838UMA7YBDKA,31LVTDXBLB9D53UH34KQH3CFCRIRL7,A13V95MSIU0JN3,airplane,16,rzplus,19
126,Airplane,3FVBZG9CMMDKWTTZS4HBGVMZLTU0HY,39OWYR0EPOQ02CW7VO9MUM0SJ6RYF4,A2U1NN8QDH1YVC,airplane,16,rzplus,37
127,Airplane,3HEA4ZVWWGL7B7V5O8ME8TF0XTP55K,3Z4XG4ZF4CQ2NSWAIEHE1GCXUW28X9,A3C8JI69WPTKWH,airplane,16,rzplus,55
128,Airplane,30EMX9PEWNIBZSEJ7R3S3T8A8SZKS7,3UXUOQ9OKIWMR1JYXZXU3854EYS7AW,A18R8GG33EVI6C,airplane,17,rxplus,1
129,Airplane,3PEG1BH7BHQCI6XHW5HXD4YA490KB3,3NVC2EB65UY5M0GEBT8KTDBVD853Y0,A2OM8VOFPTQ8V,airplane,17,rxplus,19
130,Airplane,3YLTXLH3EI5NKAXJ9PW1VWN7TWFPHT,3K9FOBBF2LISQ52PAX398J75AFYLNN,ADZLMF2H5IPRO,airplane,17,rxplus,37
131,Airplane,3BPP3MA3UFJL9FRJRWVOTCHAW77ELR,39GXDJN2OXDAJ3RFIZGWDVFCCTD8V3,A1H2DOSN5SFN7A,airplane,17,rxplus,55
132,Airplane,3VQTAXTYO6KQL22TQJLZJR78624BU1,3VNL7UK1XJI4LQXDLIMNM58D2NAFTX,A1GKD3NG1NNHRP,airplane,17,rzplus,1
133,Airplane,3P6ENY9P8CVV3OAFWU6HMZMV7MFIHD,3UJ1CZ6IZLOB4TR9Q64OQOLEC7D5S5,A13V95MSIU0JN3,airplane,17,rzplus,19
134,Airplane,3EN4YVUOVFROKPU0JG931MPP8SIXJU,3CFJTT4SXXP1XJ2W9NP7K6TNVUEI78,A2ESBX4C2Q6TQY,airplane,17,rzplus,37
135,Helicopter,37Y5RYYI1S4HJSDQ6AIHTNGC4C6SXI,3Y9N9SS8L2A2OPLNFXL6GS1UYT43DI,AVV45BXBPOCS0,airplane,17,rzplus,55
136,Airplane,3ZG552ORBP3WA4RXCG2TEK6NQW7V21,3T3IWE1XGAM1CFNMZYXHY4CR7D4TQ0,A18R8GG33EVI6C,airplane,18,rxplus,1
137,Airplane,3S8APUMBK0I12K53VUQ0XR65WDJFBW,3Z7ISHFUH4URSNWPJW5ZY1S8ZN0Z8C,A2OM8VOFPTQ8V,airplane,18,rxplus,19
138,Airplane,31YWE12TF3BV0UTYI7K6YWKGHSS7XX,34QN5IT0T3QUQ2QZF2S7S2PMIMO80D,ADZLMF2H5IPRO,airplane,18,rxplus,37
139,Airplane,3VP28W7DVQJXKI8J1863J9D8NHTZFC,3D3VGR7TA4EWPZ4SXYGQLHIYB1GR39,A1H2DOSN5SFN7A,airplane,18,rxplus,55
140,Airplane,3X52SWXE104MNBJ4ZJWVCZYN93EWCR,34T446B1C4DW25GCWE8CUOL58ZJ0CT,A1GKD3NG1NNHRP,airplane,18,rzplus,1
141,Airplane,3YZ7A3YHS8S8H9TG04ZM14PSBBQ5SB,3ZGVPD4G6XGAQ7ODMUGUPXOVFPWTZM,A13V95MSIU0JN3,airplane,18,rzplus,19
142,Airplane,3FVBZG9CMMDKWTTZS4HBGVMZLTTH0E,379J5II41SFOWZPCHY0QIWDWYQ8ELA,A2LDVDDTFY3LQ9,airplane,18,rzplus,37
143,Airplane,38G0E1M86P45UG0ZV0CZK31F9YJVUY,3A0EX8ZRNCNAPVKRQMNQBW9749MYBB,AVV45BXBPOCS0,airplane,18,rzplus,55
144,Airplane,3MVY4USGC9MKTXOV7OIGQDTXGOASI4,352YTHGROZC4I19T179FHI8Y0RU4HM,A18R8GG33EVI6C,airplane,19,rxplus,1
145,Airplane,3IH9TRB0GEYKZDP1U53WUC6OQTKI17,30MVJZJNHQC16DAV628RA3ZT0V49JP,AKM6A2R4THEII,airplane,19,rxplus,19
146,Airplane,3YKP7CX6H5EONRQXDBSO9ZTOYP4B7S,3GDTJDAPVYARTGX647F5QZWZLPOM81,ADZLMF2H5IPRO,airplane,19,rxplus,37
147,Airplane,36AZSFEY07ZQYHRTV9V4FD9RK8WBV7,3R2PKQ87N07KIM9JDTRW3OQDOW9IM7,A1H2DOSN5SFN7A,airplane,19,rxplus,55
148,Airplane,3F6045TU8GN9DHZTUOCCWPP45HR99Y,3Z7VU45IP2G9HNC4KBWKJR50M8PZ16,A1GKD3NG1NNHRP,airplane,19,rzplus,1
149,Airplane,3TCFMTM8IHNGOSBZ52I47WZ711M12M,3GNCZX450MMBX7NYTLRB3UWPHU2PAW,A13V95MSIU0JN3,airplane,19,rzplus,19
